"userNum","shoppingNum","timeStamp","productID","productName","quantity","price","partitionDate"
15,S0000001500,"2025-04-01 22:35:04",52556022,향이 진한 다진마늘 (200g),1,4980,"2025-04-01"
15,S0000001501,"2025-04-01 22:35:04",13536684,[백설] 치킨 튀김가루 1kg,1,6380,"2025-04-01"
15,S0000001502,"2025-04-01 22:35:04",69847603,하루채소 대파 (200g),1,1000,"2025-04-01"
15,S0000001503,"2025-04-01 22:35:04",32615397,냉동 척아이롤 소고기 국거리 1.2kg,1,27900,"2025-04-01"
18,S0000001800,"2025-04-01 15:32:52",7041681,파머스픽 흙대파 (봉),1,3280,"2025-04-01"
18,S0000001801,"2025-04-01 15:32:52",88698640,소소한하루 당근(봉),1,990,"2025-04-01"
21,S0000002100,"2025-04-01 18:03:59",1661365,친환경 흰 목이버섯 150g,1,4980,"2025-04-01"
21,S0000002101,"2025-04-01 18:03:59",86963071,생강&매실 맛술830ml,1,2680,"2025-04-01"
21,S0000002102,"2025-04-01 18:03:59",43705897,시골참기름 300ml(병),1,8880,"2025-04-01"
21,S0000002103,"2025-04-01 18:03:59",79792819,헬스꼬기 지방제한 호주산 소고기 다짐육 150gX5팩,1,22500,"2025-04-01"
21,S0000002104,"2025-04-01 18:03:59",99524629,양파 (1.8kg),1,6480,"2025-04-01"
21,S0000002105,"2025-04-01 18:03:59",66601111,국산 건표고버섯(슬라이스) 70g,1,6600,"2025-04-01"
21,S0000002106,"2025-04-01 18:03:59",66304376,흙대파 750g,1,3490,"2025-04-01"
21,S0000002107,"2025-04-01 18:03:59",19247238,사과당근주스 1000ml,1,2680,"2025-04-01"
32,S0000003200,"2025-04-01 20:14:32",68395654,[백설] 갈색설탕 (중백당) 1kg,1,2880,"2025-04-01"
32,S0000003201,"2025-04-01 20:14:32",11428491,버터밀크팬케이크믹스180g,1,1480,"2025-04-01"
32,S0000003202,"2025-04-01 20:14:32",81295186,딸기우유 200ml*3입,1,3180,"2025-04-01"
32,S0000003203,"2025-04-01 20:14:32",86199307,생크림카스테라 150g,1,4480,"2025-04-01"
32,S0000003204,"2025-04-01 20:14:32",64831330,[밀키요] 크림치즈 블랙페퍼 베이컨100g 1개입,1,6080,"2025-04-01"
